name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.027,45.683,47.756,47.869,48.52,48.52
err_assign_let,425,426,True,8.001,53.546,54.933,55.825,56.07,56.07
err_arity,374,375,True,8.037,44.425,45.881,46.166,46.931,46.931
err_if_not_bool,306,307,True,8.034,37.358,38.931,39.194,41.199,41.199
err_break,356,357,True,7.97,44.408,45.977,46.195,47.067,47.067
err_type_mismatch,346,347,True,7.987,43.114,44.502,44.967,46.501,46.501
err_continue_outside_loop,347,348,True,7.953,45.634,46.982,47.816,48.778,48.778
err_return_type_mismatch,18,19,True,7.991,9.333,11.033,11.137,12.521,12.521
err_duplicate_var,54,55,True,8.05,10.926,12.767,12.923,13.558,13.558
err_arraylist_toarray_assign,309,310,True,8.032,40.185,41.95,42.108,43.633,43.633
err_unary_minus_non_numeric,293,294,True,8.016,38.145,39.788,40.097,41.205,41.205
err_eq_incomparable,296,297,True,8.086,35.345,36.996,37.22,37.701,37.701
err_rel_mixed_numeric,281,282,True,8.02,32.861,34.191,34.96,35.211,35.211
err_mod_non_int64,272,273,True,8.055,30.997,32.743,32.963,33.09,33.09
err_range_non_int,285,286,True,8.04,33.007,34.895,34.983,35.188,35.188
err_for_not_iterable,279,280,True,8.001,31.544,32.942,33.826,33.988,33.988
err_for_pattern_map_bad,308,309,True,8.056,37.147,38.696,39.071,39.916,39.916
err_array_index_not_int64,367,368,True,8.029,43.358,44.968,45.145,46.396,46.396
err_array_fill_type,345,346,True,8.011,42.029,43.213,44.017,44.879,44.879
err_string_contains_arg,312,313,True,8.048,40.097,41.868,42.051,42.919,42.919
err_ctor_call_mismatch,347,348,True,8.01,40.522,42.12,42.811,43.062,43.062
err_generic_arity,329,330,True,8.087,40.371,41.678,42.755,44.01,44.01
err_interface_not_implemented,57,58,True,8.082,12.222,13.951,14.108,14.898,14.898
err_interface_sig_mismatch,32,33,True,8.018,10.429,12.091,12.615,13.521,13.521
err_no_member,279,280,True,7.978,35.734,37.031,37.888,38.341,38.341
err_unknown_named_arg,298,299,True,8.016,35.911,37.7,37.968,38.502,38.502
err_index_non_array,270,271,True,8.023,31.291,32.781,33.025,36.079,36.079
err_unary_not_non_bool,258,259,True,8.018,29.772,31.185,31.964,67.958,67.958
err_while_not_bool,280,281,True,8.024,32.605,34.068,34.858,35.056,35.056
err_arraylist_add_type,293,294,True,7.98,38.042,39.862,40.014,41.787,41.787
err_hashmap_key_type,297,298,True,8.034,38.872,40.141,40.862,41.148,41.148
err_bound_var_mismatch,273,274,True,8.025,33.45,35.03,35.792,35.948,35.948
err_rel_unordered,270,271,True,8.002,33.072,34.642,35.015,35.674,35.674
err_interface_as_value,240,241,True,8.008,30.757,32.773,32.973,33.741,33.741
err_arith_non_numeric,347,348,True,8.006,41.625,43.099,43.838,44.384,44.384
err_lambda_arg_arity_explicit,340,341,True,8.054,39.028,40.869,40.973,41.545,41.545
err_lambda_return_type_explicit,314,315,True,7.99,36.854,38.067,38.846,39.681,39.681
err_lambda_zero_body_explicit,258,259,True,8.011,32.122,33.248,34.084,35.468,35.468
err_lambda_hof_explicit,380,381,True,7.955,48.239,49.897,50.115,53.827,53.827
err_lambda_interface_callback_explicit,341,342,True,8.015,49.234,50.587,51.106,52.178,52.178
err_lambda_in_class_static_explicit,264,265,True,7.978,35.469,36.932,37.195,38.701,38.701
err_lambda_param_narrow_explicit,306,307,True,8.002,36.666,38.038,38.902,39.372,39.372
err_lambda_infer_ambiguous_1,307,308,True,8.001,35.872,36.971,37.973,38.627,38.627
err_lambda_infer_ambiguous_2,353,354,True,8.002,41.601,42.942,43.757,44.84,44.84
err_lambda_infer_wrong_return_1,255,256,True,8.001,31.779,33.053,33.975,34.329,34.329
err_lambda_infer_wrong_return_2,348,349,True,8.023,40.789,42.782,42.907,43.626,43.626
err_lambda_infer_collection_1,289,290,True,8.008,38.096,39.514,40.045,40.465,40.465
err_lambda_infer_collection_2,308,309,True,8.049,39.361,41.013,41.106,41.934,41.934
err_lambda_infer_class_helper,278,279,True,8.017,36.455,37.903,38.058,39.639,39.639
err_lambda_infer_interface_helper,304,305,True,8.021,44.08,45.195,45.967,46.895,46.895
