name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.569,40.129,41.581,42.753,43.641,43.641
err_assign_let,425,426,True,8.539,45.999,47.619,48.392,50.425,50.425
err_arity,374,375,True,8.471,38.945,40.489,41.303,43.73,43.73
err_if_not_bool,306,307,True,8.53,33.878,34.507,35.912,39.947,39.947
err_break,356,357,True,8.589,38.67,39.968,40.825,42.14,42.14
err_type_mismatch,346,347,True,8.504,38.32,40.294,41.247,41.937,41.937
err_continue_outside_loop,347,348,True,8.546,39.523,40.985,42.106,42.968,42.968
err_return_type_mismatch,18,19,True,8.52,9.782,11.575,11.904,12.682,12.682
err_duplicate_var,54,55,True,8.564,11.199,12.814,13.845,15.039,15.039
err_arraylist_toarray_assign,309,310,True,8.563,36.067,37.674,37.95,39.003,39.003
err_unary_minus_non_numeric,293,294,True,8.557,34.144,35.627,36.811,37.288,37.288
err_eq_incomparable,296,297,True,8.499,31.989,33.485,34.159,35.399,35.399
err_rel_mixed_numeric,281,282,True,8.581,30.194,31.534,32.085,33.074,33.074
err_mod_non_int64,272,273,True,8.514,28.765,29.727,30.486,33.692,33.692
err_range_non_int,285,286,True,8.564,30.185,31.925,32.271,33.17,33.17
err_for_not_iterable,279,280,True,8.533,29.353,31.109,31.826,32.302,32.302
err_for_pattern_map_bad,308,309,True,8.534,33.292,34.97,36.058,36.413,36.413
err_array_index_not_int64,367,368,True,8.511,38.448,39.947,40.97,42.189,42.189
err_array_fill_type,345,346,True,8.538,36.777,38.514,38.966,40.14,40.14
err_string_contains_arg,312,313,True,8.504,35.923,37.536,38.187,39.207,39.207
err_ctor_call_mismatch,347,348,True,8.528,36.098,37.758,38.018,40.811,40.811
err_generic_arity,329,330,True,8.506,35.204,36.815,37.568,38.948,38.948
err_interface_not_implemented,57,58,True,8.562,12.234,13.637,14.516,15.436,15.436
err_interface_sig_mismatch,32,33,True,8.538,10.724,12.563,13.019,13.568,13.568
err_no_member,279,280,True,8.528,31.835,33.586,34.366,34.89,34.89
err_unknown_named_arg,298,299,True,8.584,32.375,34.296,35.118,36.026,36.026
err_index_non_array,270,271,True,8.553,28.916,30.748,31.159,33.258,33.258
err_unary_not_non_bool,258,259,True,8.49,27.345,29.012,29.938,30.455,30.455
err_while_not_bool,280,281,True,8.5,29.763,31.539,32.132,36.937,36.937
err_arraylist_add_type,293,294,True,8.563,34.063,35.725,36.202,37.37,37.37
err_hashmap_key_type,297,298,True,8.607,34.434,35.617,36.723,37.323,37.323
err_bound_var_mismatch,273,274,True,8.547,30.791,31.961,33.075,33.586,33.586
err_rel_unordered,270,271,True,8.534,29.665,31.167,31.944,33.026,33.026
err_interface_as_value,240,241,True,8.484,28.163,29.707,30.211,31.217,31.217
err_arith_non_numeric,347,348,True,8.597,36.763,37.897,38.895,40.344,40.344
err_lambda_arg_arity_explicit,340,341,True,8.532,34.333,35.785,36.624,37.321,37.321
err_lambda_return_type_explicit,314,315,True,8.481,32.284,33.676,34.131,35.085,35.085
err_lambda_zero_body_explicit,258,259,True,8.49,28.451,30.122,30.786,31.29,31.29
err_lambda_hof_explicit,380,381,True,8.464,41.747,43.182,44.238,44.801,44.801
err_lambda_interface_callback_explicit,341,342,True,8.51,43.115,44.526,45.484,81.056,81.056
err_lambda_in_class_static_explicit,264,265,True,8.547,31.476,32.794,33.83,34.662,34.662
err_lambda_param_narrow_explicit,306,307,True,8.568,32.33,33.818,34.949,35.453,35.453
err_lambda_infer_ambiguous_1,307,308,True,8.544,31.581,33.654,33.896,35.056,35.056
err_lambda_infer_ambiguous_2,353,354,True,8.564,36.464,37.695,39.089,39.449,39.449
err_lambda_infer_wrong_return_1,255,256,True,8.524,28.001,29.543,30.393,31.221,31.221
err_lambda_infer_wrong_return_2,348,349,True,8.521,35.085,36.62,37.339,38.522,38.522
err_lambda_infer_collection_1,289,290,True,8.539,33.674,35.078,35.743,37.011,37.011
err_lambda_infer_collection_2,308,309,True,8.522,34.795,36.948,37.303,38.229,38.229
err_lambda_infer_class_helper,278,279,True,8.611,31.948,33.849,34.323,35.235,35.235
err_lambda_infer_interface_helper,304,305,True,8.531,38.293,39.384,39.943,41.252,41.252
