name,first_error_token_index,tokens_to_error,passed,first_response_median_ms,detection_median_ms,process_total_min_ms,process_total_median_ms,process_total_p95_ms,process_total_max_ms
err_undefined,374,375,True,8.075,46.488,47.825,48.081,51.931,51.931
err_assign_let,425,426,True,8.189,55.015,55.965,56.954,63.963,63.963
err_arity,374,375,True,8.215,45.906,46.915,47.933,81.921,81.921
err_if_not_bool,306,307,True,8.179,38.526,39.031,40.033,42.895,42.895
err_break,356,357,True,8.126,45.599,46.026,47.095,52.988,52.988
err_type_mismatch,346,347,True,8.114,44.313,44.952,45.997,46.969,46.969
err_continue_outside_loop,347,348,True,8.188,46.667,47.897,48.886,53.863,53.863
err_return_type_mismatch,18,19,True,8.132,9.52,10.979,11.011,13.17,13.17
err_duplicate_var,54,55,True,8.138,11.069,12.934,12.968,18.996,18.996
err_arraylist_toarray_assign,309,310,True,8.193,41.323,42.89,42.961,44.747,44.747
err_unary_minus_non_numeric,293,294,True,8.158,39.265,40.023,40.977,44.93,44.93
err_eq_incomparable,296,297,True,8.173,36.064,37.916,37.97,40.063,40.063
err_rel_mixed_numeric,281,282,True,8.076,33.802,34.942,35.931,37.107,37.107
err_mod_non_int64,272,273,True,8.152,32.099,32.979,33.986,34.967,34.967
err_range_non_int,285,286,True,8.24,34.185,35.866,35.953,37.026,37.026
err_for_not_iterable,279,280,True,8.093,32.512,33.927,34.03,37.076,37.076
err_for_pattern_map_bad,308,309,True,8.127,38.169,38.939,39.96,40.057,40.057
err_array_index_not_int64,367,368,True,8.182,45.004,45.836,46.913,47.038,47.038
err_array_fill_type,345,346,True,8.167,42.926,43.98,44.964,48.062,48.062
err_string_contains_arg,312,313,True,8.134,40.913,41.912,42.974,44.93,44.93
err_ctor_call_mismatch,347,348,True,8.156,41.512,42.874,43.027,48.111,48.111
err_generic_arity,329,330,True,8.331,42.111,41.925,43.931,47.96,47.96
err_interface_not_implemented,57,58,True,8.193,12.532,13.958,14.063,15.005,15.005
err_interface_sig_mismatch,32,33,True,8.137,10.613,11.94,12.078,13.199,13.199
err_no_member,279,280,True,8.116,37.185,37.938,39.019,41.992,41.992
err_unknown_named_arg,298,299,True,8.094,36.999,37.977,38.945,41.017,41.017
err_index_non_array,270,271,True,8.052,32.15,33.002,33.997,38.039,38.039
err_unary_not_non_bool,258,259,True,8.199,30.759,31.933,32.929,35.944,35.944
err_while_not_bool,280,281,True,8.174,33.497,34.925,35.006,38.2,38.2
err_arraylist_add_type,293,294,True,8.13,38.89,39.961,40.939,42.984,42.984
err_hashmap_key_type,297,298,True,8.069,39.469,40.922,40.998,44.808,44.808
err_bound_var_mismatch,273,274,True,8.102,34.429,35.933,36.174,37.863,37.863
err_rel_unordered,270,271,True,8.105,33.852,34.936,35.914,36.178,36.178
err_interface_as_value,240,241,True,8.071,31.749,32.987,33.932,35.919,35.919
err_arith_non_numeric,347,348,True,8.248,42.768,43.988,44.887,49.946,49.946
err_lambda_arg_arity_explicit,340,341,True,8.066,40.352,41.021,42.017,45.014,45.014
err_lambda_return_type_explicit,314,315,True,8.149,38.098,39.05,40.0,40.932,40.932
err_lambda_zero_body_explicit,258,259,True,8.068,32.718,33.944,34.924,36.932,36.932
err_lambda_hof_explicit,380,381,True,8.177,49.895,50.935,51.92,95.934,95.934
err_lambda_interface_callback_explicit,341,342,True,8.164,50.202,50.982,51.928,56.02,56.02
err_lambda_in_class_static_explicit,264,265,True,8.146,36.366,37.006,38.009,40.03,40.03
err_lambda_param_narrow_explicit,306,307,True,8.136,37.616,38.962,39.012,39.983,39.983
err_lambda_infer_ambiguous_1,307,308,True,8.128,36.612,37.917,38.721,39.245,39.245
err_lambda_infer_ambiguous_2,353,354,True,8.251,42.991,44.924,44.971,50.723,50.723
err_lambda_infer_wrong_return_1,255,256,True,8.219,32.488,33.907,34.081,36.907,36.907
err_lambda_infer_wrong_return_2,348,349,True,8.053,41.677,42.948,43.013,48.95,48.95
err_lambda_infer_collection_1,289,290,True,8.202,39.025,40.922,40.971,44.959,44.959
err_lambda_infer_collection_2,308,309,True,8.131,40.207,41.915,41.958,51.882,51.882
err_lambda_infer_class_helper,278,279,True,8.136,37.36,38.923,38.991,39.962,39.962
err_lambda_infer_interface_helper,304,305,True,8.225,45.084,45.901,46.96,51.002,51.002
